oa_id,region,region_key,title,first_author,year,cites,venue,doi,measures,measure_setting,open_world
W4391713857,Silicon sampling (population),A,"Using large language models to generate silicon samples in consumer and marketing research: Challenges, opportunities, and guidelines",Marko Sarstedt,2024,101,Psychology and Marketing,https://doi.org/10.1002/mar.21982,,,
W4401955911,Silicon sampling (population),A,Performance and biases of Large Language Models in public opinion simulation,Yao Qu,2024,63,Humanities and Social Sciences Communications,https://doi.org/10.1057/s41599-024-03609-x,,,
W4402671727,Silicon sampling (population),A,Quantifying the Persona Effect in LLM Simulations,Tiancheng Hu,2024,28,,https://doi.org/10.18653/v1/2024.acl-long.554,,,
W4404782367,Silicon sampling (population),A,Large Language Model-based Human-Agent Collaboration for Complex Task Solving,Xueyang Feng,2024,18,,https://doi.org/10.18653/v1/2024.findings-emnlp.72,,,
W4409736095,Silicon sampling (population),A,Proxona: Supporting Creators' Sensemaking and Ideation with LLM-Powered Audience Personas,Yoonseo Choi,2025,14,,https://doi.org/10.1145/3706598.3714034,,,
W4401042817,Silicon sampling (population),A,Evaluating Large Language Models as Generative User Simulators for Conversational Recommendation,Se-eun Yoon,2024,14,,https://doi.org/10.18653/v1/2024.naacl-long.83,,,
W4409621127,Silicon sampling (population),A,Machine Bias. How Do Generative Language Models Answer Opinion Polls? <sup/>,Julien Boelaert,2025,14,Sociological Methods & Research,https://doi.org/10.1177/00491241251330582,,,
W4407276287,Silicon sampling (population),A,Beyond WEIRD: Can synthetic survey participants substitute for humans in global policy research?,Pujen Shrestha,2024,14,Behavioral Science & Policy,https://doi.org/10.1177/23794607241311793,,,
W4411236296,Silicon sampling (population),A,Simulating Human Opinions with Large Language Models,Carolin Kaiser,2025,10,,https://doi.org/10.1145/3708319.3733685,,,
W4385889839,Silicon sampling (population),A,Exploring the Intersection of Large Language Models and Agent-Based Modeling via Prompt Engineering,Edward Junprung,2023,9,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2308.07411,,,
W4401591651,Silicon sampling (population),A,A technological construction of society: Comparing GPT‐4 and human respondents for occupational evaluation in the UK,Paweł Gmyrek,2024,9,British Journal of Industrial Relations,https://doi.org/10.1111/bjir.12840,,,
W4393254723,Silicon sampling (population),A,Modeling the opinion dynamics of superstars in the film industry,Jesús Giráldez-Cru,2024,9,Expert Systems with Applications,https://doi.org/10.1016/j.eswa.2024.123750,,,
W4400222256,Silicon sampling (population),A,"Scaling Synthetic Data Creation with 1,000,000,000 Personas","Ge, Tao",2024,8,ArXiv.org,https://doi.org/10.48550/arxiv.2406.20094,,,
W4388144615,Silicon sampling (population),A,Calibrating an Opinion Dynamics Model to Empirical Opinion Distributions and Transitions,Martin Gestefeld,2023,7,Journal of Artificial Societies and Social Simulation,https://doi.org/10.18564/jasss.5204,,,
W4390772308,Silicon sampling (population),A,Quantifying the Impact of Large Language Models on Collective Opinion Dynamics,Chao Li,2024,6,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4688547,,,
W4409454798,Silicon sampling (population),A,Modeling public opinion dynamics in social networks using a GAN-SEIR framework,Jintao Wang,2025,6,Social Network Analysis and Mining,https://doi.org/10.1007/s13278-025-01426-x,,,
W4416034135,Silicon sampling (population),A,The Prompt Makes the Person(a): A Systematic Evaluation of Sociodemographic Persona Prompting for Large Language Models,Marlene Lutz,2025,5,,https://doi.org/10.18653/v1/2025.findings-emnlp.1261,,,
W4402706334,Silicon sampling (population),A,"Using Large Language Models to Create AI Personas for Replication, Generalization and Prediction of Media Effects: An Empirical Test of 133 Published Experimental Research Findings",Leo Yeykelis,2024,5,ArXiv.org,https://doi.org/10.48550/arxiv.2408.16073,,,
W4410020692,Silicon sampling (population),A,Social opinions prediction utilizes fusing dynamics equation with LLM-based agents,Junchi Yao,2025,4,Scientific Reports,https://doi.org/10.1038/s41598-025-99704-3,,,
W4385681712,Silicon sampling (population),A,Quantifying the Impact of Large Language Models on Collective Opinion Dynamics,Chao Li,2023,4,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2308.03313,,,
W4414337441,Silicon sampling (population),A,Can AI with High Reasoning Ability Replicate Human-like Decision Making in Economic Experiments?,Ayato Kitadai,2025,3,Group Decision and Negotiation,https://doi.org/10.1007/s10726-025-09946-9,,,
W4390092730,Silicon sampling (population),A,Generative agents in the streets: Exploring the use of Large Language Models (LLMs) in collecting urban perceptions,Deepank Verma,2026,3,Computers in Human Behavior Artificial Humans,https://doi.org/10.1016/j.chbah.2026.100277,,,
W4388430701,Silicon sampling (population),A,From Data Scarcity to Data Abundance: Crafting Synthetic Survey Data in Management Accounting using ChatGPT,Fábio Motoki,2023,3,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4595896,,,
